date,language,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,hobby,pageviews
2020-02-23,Vietnamese,,,0,0,47.22,book,18
2020-02-23,Japanese,,,0,0,25.0,book,164
2020-02-23,German (AUT),,,0,0,19.44,book,207
2020-02-23,German (CHE),,,0,0,0.0,book,207
2020-02-23,Serbian,,,0,0,0.0,book,3
2020-02-23,German (DEU),,,0,0,11.11,book,207
2020-02-24,Tamil,,,1,1,10.19,book,20
2020-02-24,Vietnamese,,,0,0,47.22,book,23
2020-02-24,Serbian,,,0,0,0.0,book,3
2020-02-24,Japanese,,,0,0,25.0,book,174
2020-02-24,German (AUT),,,0,0,19.44,book,239
2020-02-24,German (CHE),,,0,0,0.0,book,239
2020-02-24,German (DEU),,,0,0,11.11,book,239
2020-02-25,German (DEU),,,0,0,11.11,book,218
2020-02-25,Tamil,,,1,1,10.19,book,23
2020-02-25,Japanese,,,0,0,34.26,book,379
2020-02-25,Vietnamese,,,0,0,47.22,book,14
2020-02-25,German (CHE),,,0,0,8.33,book,218
2020-02-25,Serbian,,,0,0,0.0,book,7
2020-02-25,German (AUT),,,0,0,19.44,book,218
2020-02-26,Tamil,,,1,1,10.19,book,16
2020-02-26,Vietnamese,,,0,0,47.22,book,20
2020-02-26,Serbian,,,0,0,13.89,book,4
2020-02-26,Japanese,,,0,0,34.26,book,342
2020-02-26,German (DEU),,,0,0,16.67,book,224
2020-02-26,German (CHE),,,0,0,8.33,book,224
2020-02-26,German (AUT),,,0,0,19.44,book,224
2020-02-27,German (CHE),,,0,0,13.89,book,263
2020-02-27,German (AUT),,,0,0,19.44,book,263
2020-02-27,Japanese,,,0,0,34.26,book,294
2020-02-27,German (DEU),,,0,0,16.67,book,263
2020-02-27,Vietnamese,,,0,0,47.22,book,24
2020-02-27,Tamil,,,1,1,10.19,book,12
2020-02-27,Serbian,,,0,0,13.89,book,1
2020-02-28,Tamil,,,1,1,10.19,book,9
2020-02-28,Japanese,,,0,0,34.26,book,197
2020-02-28,Vietnamese,,,0,0,47.22,book,12
2020-02-28,German (CHE),,,0,0,19.44,book,177
2020-02-28,German (AUT),,,0,0,19.44,book,177
2020-02-28,German (DEU),,,0,0,19.44,book,177
2020-02-28,Serbian,,,0,0,13.89,book,3
2020-02-29,German (AUT),,,0,0,19.44,book,167
2020-02-29,Japanese,,,0,0,34.26,book,132
2020-02-29,German (DEU),,,0,0,25.0,book,167
2020-02-29,Serbian,,,0,0,13.89,book,1
2020-02-29,German (CHE),,,0,0,19.44,book,167
2020-02-29,Tamil,,,1,1,10.19,book,14
2020-02-29,Vietnamese,,,0,0,47.22,book,18
2020-03-01,German (DEU),0.02976375,0.335834375,0,0,25.0,book,216
