Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
5/29/2020,25,19,20,17,62,103,110,12,20,73,Vietnamese
5/30/2020,29,23,31,20,46,85,73,12,8,57,Vietnamese
5/31/2020,44,31,43,22,42,66,92,31,23,75,Vietnamese
6/1/2020,17,11,31,28,54,46,76,23,37,74,Vietnamese
6/2/2020,39,14,26,25,53,67,97,22,28,94,Vietnamese
6/3/2020,35,45,26,19,47,46,74,25,17,74,Vietnamese
6/4/2020,39,18,28,18,48,56,80,16,25,85,Vietnamese
6/5/2020,59,22,24,34,52,77,76,17,16,67,Vietnamese
6/6/2020,30,28,20,34,52,69,76,9,13,68,Vietnamese
6/7/2020,29,24,14,32,59,64,80,28,17,78,Vietnamese
6/8/2020,52,24,18,25,64,88,87,26,12,55,Vietnamese
6/9/2020,58,39,18,15,94,61,113,20,12,80,Vietnamese
6/10/2020,55,23,29,27,56,65,91,20,18,62,Vietnamese
6/11/2020,32,17,28,27,63,58,115,18,19,88,Vietnamese
6/12/2020,36,30,21,15,54,66,137,12,10,76,Vietnamese
6/13/2020,37,21,18,20,42,48,64,20,8,71,Vietnamese
6/14/2020,43,21,28,29,40,63,106,26,21,58,Vietnamese
6/15/2020,53,22,16,20,51,68,115,21,11,82,Vietnamese
6/16/2020,52,24,19,20,53,94,110,13,10,72,Vietnamese
6/17/2020,58,30,62,16,60,83,129,25,14,64,Vietnamese
6/18/2020,45,48,26,47,47,80,112,12,17,79,Vietnamese
6/19/2020,36,20,28,50,76,64,98,11,19,65,Vietnamese
6/20/2020,39,24,9,33,48,40,75,13,11,37,Vietnamese
6/21/2020,40,24,11,42,122,59,101,13,20,55,Vietnamese
6/22/2020,50,33,45,43,65,75,78,15,20,61,Vietnamese
6/23/2020,42,24,40,33,49,87,85,19,12,72,Vietnamese
6/24/2020,39,21,14,33,50,73,113,22,9,54,Vietnamese
6/25/2020,41,27,24,61,56,51,83,12,7,50,Vietnamese
6/26/2020,31,29,23,21,50,39,99,19,7,59,Vietnamese
6/27/2020,18,27,17,28,48,45,69,21,8,46,Vietnamese
6/28/2020,41,15,16,42,31,46,84,18,8,39,Vietnamese
6/29/2020,25,22,16,39,34,52,91,19,12,57,Vietnamese
6/30/2020,21,11,10,47,53,65,70,15,8,65,Vietnamese
7/1/2020,41,22,22,37,40,72,68,16,22,58,Vietnamese
