Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
15/12/2019,29,0,0,7,4,10,1,7,0,29,Macedonian
16/12/2019,16,0,0,5,3,4,3,2,0,14,Macedonian
17/12/2019,15,1,2,16,12,4,2,1,0,22,Macedonian
18/12/2019,9,0,0,12,7,9,2,4,0,6,Macedonian
19/12/2019,7,0,2,11,7,6,5,2,0,3,Macedonian
20/12/2019,14,0,1,3,3,2,5,1,0,6,Macedonian
21/12/2019,3,1,0,13,1,4,7,0,0,9,Macedonian
22/12/2019,17,0,0,11,3,6,5,3,0,21,Macedonian
23/12/2019,11,0,0,7,3,9,1,3,0,15,Macedonian
24/12/2019,7,0,0,7,9,7,3,0,0,10,Macedonian
25/12/2019,10,0,0,9,4,7,0,0,0,13,Macedonian
26/12/2019,6,0,1,8,3,6,2,1,0,6,Macedonian
27/12/2019,2,0,0,4,0,3,0,0,0,4,Macedonian
28/12/2019,3,0,1,15,6,5,1,0,0,2,Macedonian
29/12/2019,5,0,0,10,2,6,4,1,0,4,Macedonian
30/12/2019,3,0,0,12,4,0,1,1,0,3,Macedonian
31/12/2019,3,0,0,7,1,0,6,0,0,2,Macedonian
1/1/2020,4,0,1,11,3,3,0,0,0,1,Macedonian
2/1/2020,4,1,0,18,4,1,3,1,0,4,Macedonian
3/1/2020,5,0,0,24,4,4,2,4,0,0,Macedonian
4/1/2020,4,0,0,12,3,2,3,2,0,5,Macedonian
5/1/2020,7,0,0,16,4,5,2,1,0,2,Macedonian
6/1/2020,14,1,0,22,4,11,2,6,0,6,Macedonian
7/1/2020,10,0,0,14,6,4,2,10,0,4,Macedonian
8/1/2020,3,0,1,9,3,2,4,12,0,3,Macedonian
9/1/2020,2,0,0,14,7,1,1,6,0,1,Macedonian
10/1/2020,3,0,1,10,4,2,5,33,0,3,Macedonian
11/1/2020,4,0,0,11,1,1,4,7,0,4,Macedonian
12/1/2020,6,0,1,18,12,1,2,7,0,6,Macedonian
13/01/2020,4,0,0,14,8,3,1,6,0,0,Macedonian
14/01/2020,3,1,0,19,6,1,2,9,0,4,Macedonian
15/01/2020,5,1,0,22,6,2,1,9,0,4,Macedonian
16/01/2020,5,0,1,15,3,3,0,12,0,1,Macedonian
17/01/2020,3,0,0,18,3,2,0,6,0,1,Macedonian
18/01/2020,0,0,1,11,9,4,2,12,0,4,Macedonian
19/01/2020,8,0,0,21,3,4,2,17,0,6,Macedonian
20/01/2020,6,0,1,6,2,0,3,27,0,10,Macedonian
21/01/2020,7,1,2,9,7,5,8,13,0,15,Macedonian
22/01/2020,10,0,0,10,7,6,2,14,0,43,Macedonian
23/01/2020,8,0,0,2,5,4,4,19,0,25,Macedonian
24/01/2020,4,0,1,7,5,1,1,16,0,5,Macedonian
25/01/2020,4,2,2,9,4,1,3,23,0,8,Macedonian
26/01/2020,6,0,3,17,4,6,7,16,0,11,Macedonian
27/01/2020,7,3,2,9,4,2,1,1,0,49,Macedonian
